rho,W,V,S,b,AR,Cd0,e,CL,CD,CL/CD,TR,PR,TA,PA,RC
0.413,60000,90,34,33,32.02941176,0.032,0.87,1.05503595,0.044721451,23.59127273,2543.313397,228898.2058,27172.36571,2445512.914,36.94357848
0.525,80000,40,47,54,62.04255319,0.032,0.87,4.052684904,0.128905207,31.43926447,2544.588792,101783.5517,34541.14286,1381645.714,15.99827703
1.007,60000,20,47,54,62.04255319,0.032,0.87,6.338608464,0.269055093,23.55877526,2546.821698,50936.43396,66253.20163,1325064.033,21.23545998
0.525,60000,80,34,33,32.02941176,0.032,0.87,1.050420168,0.044610382,23.54654058,2548.145015,203851.6012,34541.14286,2763291.429,42.65733046
0.819,50000,20,47,54,62.04255319,0.051,0.77,6.494687346,0.332194268,19.55087122,2557.430789,51148.61578,53884.18286,1077683.657,20.53070083
1.007,50000,70,17,17.47,17.95299412,0.032,0.87,1.192135245,0.06097779,19.55031885,2557.503045,179025.2131,66253.20163,4637724.114,89.17397802
0.525,60000,50,34,33,32.02941176,0.032,0.87,2.68907563,0.114643399,23.45600056,2557.980839,127899.0419,34541.14286,1727057.143,26.65263502
0.525,80000,70,47,54,62.04255319,0.032,0.87,1.323325683,0.04233225,31.26046152,2559.143279,179140.0295,34541.14286,2417880,27.98424963
0.413,50000,110,17,17.47,17.95299412,0.032,0.87,1.177106226,0.060251761,19.53646177,2559.317066,281524.8772,27172.36571,2988960.229,54.14870703
1.225,50000,60,17,17.47,17.95299412,0.032,0.87,1.33386688,0.068277654,19.5359215,2559.387843,153563.2706,80596,4835760,93.64393459
0.819,60000,40,34,33,32.02941176,0.032,0.87,2.693385046,0.114908494,23.43939038,2559.793536,102391.7415,53884.18286,2155367.314,34.21625955
0.819,50000,20,47,54,62.04255319,0.1,0.93,6.494687346,0.332816759,19.51430379,2562.223103,51244.46205,53884.18286,1077683.657,20.5287839
1.007,60000,40,47,54,62.04255319,0.051,0.77,1.584652116,0.067740092,23.3931203,2564.856643,102594.2657,66253.20163,2650128.065,42.45889666
0.413,50000,60,34,33,32.02941176,0.051,0.77,1.978192407,0.101532144,19.48341017,2566.285859,153977.1515,27172.36571,1630341.943,29.52729583
0.525,50000,90,17,17.47,17.95299412,0.032,0.87,1.383269357,0.071014651,19.47864761,2566.913319,231022.1987,34541.14286,3108702.857,57.55361317
0.819,50000,80,17,17.47,17.95299412,0.032,0.87,1.122243769,0.057679621,19.45650374,2569.83478,205586.7824,53884.18286,4310734.629,82.10295692
0.525,50000,100,17,17.47,17.95299412,0.032,0.87,1.120448179,0.057597512,19.45306548,2570.288988,257028.8988,34541.14286,3454114.286,63.94170774
0.413,50000,100,17,17.47,17.95299412,0.032,0.87,1.424298533,0.073363403,19.41429198,2575.422273,257542.2273,27172.36571,2717236.571,49.19388688
1.007,50000,40,34,33,32.02941176,0.051,0.77,1.825457094,0.094030255,19.41350778,2575.526307,103021.0523,66253.20163,2650128.065,50.94214026
1.225,70000,30,47,54,62.04255319,0.051,0.77,2.701789936,0.099662355,27.10943295,2582.127045,77463.81134,80596,2417880,33.43451698
